X Y Z Label
-4.50329 -5.13826 -4.35231 0.00000
-3.47697 -5.23415 -5.23414 0.00000
-3.42079 -4.23257 -5.46947 0.00000
-4.45744 -5.46342 -5.46573 0.00000
-4.75804 -6.91328 -6.72492 0.00000
-5.56229 -6.01283 -4.68575 0.00000
-5.90802 -6.41230 -3.53435 0.00000
-5.22578 -4.93247 -6.42475 0.00000
-5.54438 -4.88908 -6.15099 0.00000
-4.62430 -5.60064 -5.29169 0.00000
-5.60171 -3.14772 -5.01350 0.00000
-6.05771 -4.17746 -6.22084 0.00000
-4.79114 -6.95967 -6.32819 0.00000
-4.80314 -4.26153 -4.82863 0.00000
-5.11565 -5.30110 -6.47852 0.00000
-5.71984 -5.46064 -3.94288 0.00000
-4.65638 -6.76304 -4.67592 0.00000
-5.38508 -5.67692 -4.38832 0.00000
-3.96900 -4.06872 -5.83922 0.00000
-5.30921 -4.66874 -4.02445 0.00000
-5.47917 -5.18566 -6.10633 0.00000
-6.19621 -4.18747 -3.64376 0.00000
-5.07201 -3.99647 -4.63836 0.00000
-5.64512 -4.63860 -3.46196 0.00000
-5.03583 -3.43536 -7.61975 0.00000
-4.17810 -4.91295 -5.29901 0.00000
-4.90824 -6.98757 -5.21967 0.00000
-4.64289 -3.52211 -5.51827 0.00000
-5.80849 -5.50176 -4.08460 0.00000
-4.67125 -5.52976 -4.48673 0.00000
-4.90292 -4.03136 -5.70205 0.00000
-5.32766 -5.39211 -6.46351 0.00000
-4.70388 -4.73894 -4.99489 0.00000
-5.23459 -6.41537 -5.42065 0.00000
-5.34271 -5.80228 -5.16129 0.00000
-4.59595 -3.11381 -4.82542 0.00000
-4.74245 -5.07445 -6.91877 0.00000
-5.02651 -4.93977 -2.53676 0.00000
-5.19236 -4.69845 -5.03471 0.00000
-6.16868 -3.85718 -4.24807 0.00000
-4.20897 -5.90939 -3.59721 0.00000
-6.40185 -4.41314 -2.80954 0.00000
-5.99054 -5.56630 -4.90035 0.00000
-5.50348 -6.55066 -4.93144 0.00000
-6.06230 -4.52641 -5.91942 0.00000
-3.45007 -5.78325 -5.32206 0.00000
-4.18648 -6.23086 -4.77254 0.00000
-3.69286 -6.60748 -4.81537 0.00000
-4.74012 -4.21818 -6.23695 0.00000
-6.32046 -4.47806 -4.70302 0.00000
-4.74951 -4.65355 -5.68002 0.00000
-4.76775 -4.70693 -5.71435 0.00000
-3.13423 -4.52617 -6.19130 0.00000
-4.34345 -5.97468 -4.21292 0.00000
-3.84140 -5.82068 -4.03662 0.00000
-4.58722 -4.17794 -3.10321 0.00000
-5.24539 -5.75374 -5.88951 0.00000
-5.81581 -5.07710 -4.65885 0.00000
-4.72331 -4.17282 -4.98700 0.00000
-3.54647 -5.26466 -2.27983 0.00000
-4.37433 -5.85716 -6.07089 0.00000
-4.51753 -5.22346 -4.28600 0.00000
-4.52676 -5.07283 -5.84679 0.00000
-6.51485 -5.44651 -4.14360 0.00000
-4.78591 -6.24574 -4.82682 0.00000
-4.61468 -5.88386 -4.84627 0.00000
-4.94179 -6.14297 -4.64221 0.00000
-4.43922 -3.91695 -3.94620 0.00000
-6.37767 -5.93783 -4.48496 0.00000
-4.48621 -4.48495 -1.14727 0.00000
-4.42911 -3.86443 -4.04600 0.00000
-4.34861 -5.31527 -4.24103 0.00000
-5.77283 -5.23682 -5.48536 0.00000
-4.91813 -2.68534 -6.86727 0.00000
-4.31374 -6.61272 -5.47193 0.00000
-3.91105 -4.93572 -6.07774 0.00000
-5.71530 -4.32040 -5.73037 0.00000
-4.78354 -4.95443 -5.65160 0.00000
-2.85606 -4.36608 -7.02514 0.00000
-4.81355 -5.66179 -4.14757 0.00000
-5.79252 -5.11474 -4.49501 0.00000
-4.13424 -6.20030 -5.33450 0.00000
-5.47495 -5.65333 -3.23455 0.00000
-4.59502 -6.26088 -4.08214 0.00000
-2.87784 -3.96753 -6.51937 0.00000
-5.48423 -3.73309 -5.70767 0.00000
-4.55618 -4.22537 -5.92693 0.00000
-5.05953 -8.24127 -6.02439 0.00000
-5.25257 -6.24778 -3.36759 0.00000
-6.43014 -5.44004 -4.86926 0.00000
-3.55873 -6.43586 -3.83684 0.00000
-4.98977 -5.98151 -4.53790 0.00000
-4.80094 -5.60022 -4.93020 0.00000
-5.38531 -4.88648 -4.33787 0.00000
-3.41398 -6.23782 -2.86697 0.00000
-6.95209 -5.15179 -4.41168 0.00000
-4.71901 -5.62270 -5.20812 0.00000
-5.49300 -5.58936 -4.15040 0.00000
-4.64298 -5.69291 -4.10040 0.00000
-4.69270 -4.18714 -4.37037 0.00000
-5.82900 -5.56018 -4.25271 0.00000
-4.38963 -5.02090 -4.88267 0.00000
-3.72234 -5.59157 -4.45290 0.00000
-5.20219 -5.21768 -3.90122 0.00000
-4.17458 -4.18649 -3.69452 0.00000
-4.97900 -4.31805 -5.31027 0.00000
-4.67583 -5.13014 -4.90300 0.00000
-4.40484 -5.81822 -2.90761 0.00000
-6.00602 -6.21419 -3.84189 0.00000
-4.20834 -4.37588 -4.37165 0.00000
-5.01225 -5.89725 -4.92420 0.00000
-5.67716 -4.02488 -5.14706 0.00000
-5.82550 -5.32139 -4.58707 0.00000
-5.56372 -5.82222 -4.75631 0.00000
0.00000 0.00000 0.00000 4.00000
-4.75503 -5.50694 -5.47104 0.00000
-4.76795 -6.44808 -6.40746 0.00000
-5.71844 -5.21345 -4.68909 0.00000
-3.52464 -4.14234 -5.15994 0.00000
-5.01902 -6.00253 -5.01851 0.00000
-5.28866 -4.67728 -5.82723 0.00000
-4.48065 -3.46726 -5.10876 0.00000
-4.59829 -4.30986 -5.40122 0.00000
-4.77591 -4.98741 -4.90232 0.00000
-5.77301 -4.97549 -4.50200 0.00000
-3.54886 -4.04073 -2.84682 0.00000
-5.76735 -4.12768 -4.81666 0.00000
-2.81020 -5.80830 -5.83972 0.00000
-5.59939 -7.12390 -5.52576 0.00000
-5.75913 -4.84961 -4.65824 0.00000
-3.12383 -4.04958 -5.57690 0.00000
-5.89841 -4.50808 -6.32023 0.00000
-3.16854 -3.82056 -5.46918 0.00000
-6.71313 -3.64613 -5.11454 0.00000
-3.76218 -6.59443 -5.59938 0.00000
-4.99476 -4.95302 -5.45007 0.00000
-4.37715 -6.06762 -5.14238 0.00000
-4.87970 -4.48556 -4.28839 0.00000
-6.12464 -6.53411 -3.72232 0.00000
-4.66769 -5.74849 -3.44885 0.00000
-4.88433 -3.82070 -4.93248 0.00000
-2.93925 -3.24466 -5.24896 0.00000
-4.02843 -4.35462 -3.63137 0.00000
-5.96492 -4.31395 -3.94158 0.00000
-6.75874 -6.18326 -7.03923 0.00000
-5.26941 -4.28246 -3.49764 0.00000
-4.92591 -3.37138 -6.38010 0.00000
-6.70338 -5.05555 -4.61593 0.00000
-5.03269 -7.06744 -5.08912 0.00000
-6.30447 -4.33033 -4.63340 0.00000
